"id","entrega","status_anterior","status_20260912","nivel_de_evidencia","observacao_20260912","evidencia_documental_anterior"
"UX23","Produtos que mostrem repertório","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Produtos reais aparecem; seleção editorial diversa com responsável/revisão ainda não comprovada. HOME/CUR."
"UX24","Campanhas distintas","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Finder corrigido no recorte onboarding, mas ideaLandings e catalogLibrary ainda impõem perfil=kits. Falta conjunto de relevância comercial julgado e revisão de coerência (A06).","Entradas existem; várias convergem para kits/destaques amplos. CUR/F09."
"UX25","Quatro frases da marca","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Frases da marca permanecem na home/elementos editoriais, inclusive texto repartido em elementos JSX. Não confundir busca literal simples com ausência na interface.","Frases incorporadas e protegidas por testes de presença. HOME/QA."
"UX26","Case comercial real","E","E","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Não há case publicado com conjunto completo de evidências/autorização identificado. HOME/DOC."
"UX27","Como funciona","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Fluxo explicado; validação formal das etapas de arte/produção e operação comercial ainda necessária. HOME/QUOTE."
"UX28","Operação e limites","E","E","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Depende de fotos reais autorizadas e confirmação de capacidades/prazos; conteúdo genérico não é comprovação. HOME/DOC."
"UX29","Necessidade no contato","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Formulário permite explicar necessidade e indicar contexto; envio automático é outro requisito. QUOTE/NAV."
"UX30","Redes e atendimento oficial","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Ícones/links existem e são testados; titularidade de todos os canais, horários e domínio não confirmada nesta revisão. NAV/QA."
"UX31","Taxonomia de campanhas","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Taxonomia e tradução de filtros existem; adequação semântica dos atalhos ainda limitada. CAT/CUR/F09."
"UX32","Sinônimos por intenção","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Finder corrigido no recorte onboarding, mas ideaLandings e catalogLibrary ainda impõem perfil=kits. Falta conjunto de relevância comercial julgado e revisão de coerência (A06).","Busca textual refinada; outros caminhos ainda restringem onboarding a kits. CAT/CUR/F09."
"UX33","Erros de digitação","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Normalização/sugestões e proteção de códigos cobertas nos testes de busca. CAT."
"UX34","Amostra de relevância","N","N","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Não encontrei dataset real julgado com esperado/obtido por intenção; fixtures não substituem avaliação comercial. CAT/DOC."
"UX35","Ordenação editorial","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Ordenação por flags existe; não há ranking avaliado por intenção/diversidade. CAT/F09."
"UX36","Novidades, kits, badge único","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Regra de badge único preservada com testes de navegadores; não implica composição de kits implementada.","Precedência único badge e critérios de novidade implementados/testados. PROD."
"UX37","Grupos do superfiltro","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Agrupamentos, busca e chips legíveis implementados. CAT/QA."
"UX38","Refinamento móvel","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Painel móvel, combinação de filtros, URL e retorno de foco cobertos. CAT/QA."
"UX39","Densidade, paginação, retorno","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Paginação e estado de filtro existem; toda a matriz de retorno/posição ainda sem comprovação. CAT/QA."
"UX40","Explicar recomendações e vazios","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Recuperação de vazio existe; justificativa de pertinência depende de melhorar a curadoria. CAT/CUR/F09."
"UX41","Qualidade dos dados","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Normalizadores/contrato público protegem exibição; falta auditoria estratificada recorrente com amostra e responsáveis. PROD/DATA."
"UX42","Resumo e descrição completa","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Separação de leitura implementada no detalhe. PROD."
"UX43","Especificações e unidades","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Campos e ausência tratados; qualidade/unidades de todas as famílias não auditadas em amostra representativa. PROD/DATA."
"UX44","Galeria com ampliação","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Miniaturas, ampliação e fallback presentes; testes de galeria existentes. PROD/QA."
"UX45","Cores e variantes","I","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Variantes válidas são preservadas, mas variantes que desapareceram colapsam em sem-cor na hidratação e podem perder quantidade. Reclassificado para parcial (A03).","Identidade da variante preservada em seleção e contratos; dados publicados governam apresentação. PROD/CART/SHARE."
"UX46","Mínimo e ajuste de quantidade","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Drawer recebeu edição por rascunho/blur. Ficha ProductPage.tsx:201 continua normalizando a cada tecla; mínimo 50 + apagar/digitar 250 resultou 50250 em Chromium local (A02).","Mínimo validado, mas edição intermediária é normalizada cedo demais. PROD/F10."
"UX47","Personalização comprovada","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Textos cautelosos/FAQ existem; matriz de técnicas e exemplos reais por produto não está completa. PROD/DOC."
"UX48","FAQ contextual","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Perguntas por contexto de catálogo/produto/orçamento implementadas. PROD/QUOTE."
"UX49","Relacionados relevantes","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Relacionados por categoria existem; diversidade/adequação à campanha não demonstradas. PROD/CUR/F09."
"UX50","Comparação decisória","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Até três itens com atributos úteis e ausências tratadas; testes cobrem persistência. PROD/QA."
"UX51","Feedback ao salvar","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Estados de inclusão/atualização, contador e limite presentes. CART/PROD/QA."
"UX52","Remover/limpar com proteção","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Confirmação de substituição e limpeza/desfazer presentes; troca para token revogado não deixa seleção anterior acionável no cenário simulado. Ciclo integral de todas as formas de perda não certificado.","Remoção/limpeza têm recuperação; substituição por compartilhamento escapa da proteção. CART/F02."
"UX53","Seleções por campanha","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Seleção ativa local não é biblioteca remota por conta. Sem múltiplas campanhas persistidas, sincronização autenticada, resolução de conflitos e arquivamento/restauração (A08).","Nome de uma seleção ativa existe; múltiplas campanhas independentes não. CART/F11."
"UX54","Alternativas de decisão","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Grupos principal/alternativa existem no orçamento. Compartilhamento conserva somente id/q/v, por minimização; decidir apresentação dos grupos sem incluir dados pessoais automaticamente.","Grupos/prioridades implementados; entendimento pelos compradores e preservação no link não comprovados. CART/QUOTE/F12."
"UX55","Impressão/PDF","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Estilo de impressão existe; paginação longa, imagens, observações e QA do PDF final ainda pendentes. CART/QUOTE/QA."
"UX56","Modelo de compartilhamento","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Limite 50, variantes longas e gestão local de links corrigidos/testados; troca para revogado passou na simulação. Variantes ausentes ainda perdem identidade/quantidade (A03); acesso direto afetado por A01 e estado remoto não certificado.","Token opaco, validade e segredo separado existem; gerenciamento/limpeza ainda incompletos. SHARE/F03/F06."
"UX57","Link de leitura","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Limite 50, variantes longas e gestão local de links corrigidos/testados; troca para revogado passou na simulação. Variantes ausentes ainda perdem identidade/quantidade (A03); acesso direto afetado por A01 e estado remoto não certificado.","API e página existem, mas há falhas de carregamento, duplicação e revogação; limite de oito. SHARE/F01–F03/F12."
"UX58","Prévia de links por conteúdo","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Titles/canonical e noindex privado evoluíram. Produção entrega HTML de login da Vercel em rotas públicas/privadas, sem root React; 404 editorial correto não encerra SEO/experiência (A01).","Produto tem camada própria; catálogos/datas e páginas sensíveis falham no HTML inicial. SEO/F05."
"UX59","Sincronização após login","N","N","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Seleção ativa local não é biblioteca remota por conta. Sem múltiplas campanhas persistidas, sincronização autenticada, resolução de conflitos e arquivamento/restauração (A08).","Não há biblioteca remota de seleções por usuário; histórico de pedidos não é sincronização de rascunhos. CART/ACCOUNT/F11."
"UX60","Conflitos/ciclo de campanhas","N","N","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Seleção ativa local não é biblioteca remota por conta. Sem múltiplas campanhas persistidas, sincronização autenticada, resolução de conflitos e arquivamento/restauração (A08).","Não há versionamento concorrente, arquivamento e restauração de várias seleções. CART/F11."
"UX61","Resumo editável da campanha","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Contexto e campos de briefing revisáveis no fluxo principal. QUOTE."
"UX62","Verba sem preço fictício","I","I","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Correções de contexto na duplicação e escopo da verba permanecem versionadas em 561a548; suíte de contratos aprovada. Isto não comprova a cadeia comercial real.","Campo existe, mas escopo não é exigido quando há valor/faixa. QUOTE/F08."
"UX63","Evento versus recebimento","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Ordem entre recebimento/evento validada; casos de evento passado, ausência de prazo e viabilidade operacional não integralmente certificados.","Campos separados existem; relação entre datas e faixas ainda incompleta. QUOTE/F08."
"UX64","Formulário com menos esforço","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Validação/rascunho têm testes; faltam ensaios completos de resposta perdida após persistência e recuperação do formulário na hospedagem real.","Labels/validação/rascunho presentes; inconsistências do briefing e falhas de ajuste continuam. QUOTE/F07/F08."
"UX65","Anexos protegidos","N","N","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Upload privado de logo/referência do cliente não encontrado. Bucket de PDF comercial é outro fluxo (A08).","Não encontrei upload de logo/referência do cliente. PDF comercial privado é outro fluxo. QUOTE/DATA."
"UX66","Envio único do orçamento","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Fluxo principal tem identidade de tentativa/persistência e testes; não estender essa conclusão ao ajuste. QUOTE/DATA/F07."
"UX67","Confirmação e próximo passo","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Protocolo/histórico e eventos existem; encaminhamento com responsável, SLA e confirmação de recebimento comercial não demonstrados de ponta a ponta (A07).","Confirma persistência/protocolo; expectativa operacional/SLA e recebimento comercial não demonstrados. QUOTE/F13."
"UX68","Cópia por e-mail","E","N","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Cópia automática por e-mail não implementada operacionalmente: tabela de auditoria não substitui fila, worker, provedor, retries e entrega. Há dependências externas além do código faltante (A07).","Provedor/remetente/domínio e cadeia de entrega não ativos/comprovados; implementação operacional também falta. README/F13."
"UX69","WhatsApp opcional automático","E","N","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","WhatsApp aberto pelo visitante não é envio automático. Faltam implementação de entrega, provedor/número/template e consentimento próprio; dependências externas não tornam a função pronta (A07).","Links iniciados pelo visitante existem; automação requer opt-in/provedor/template e worker. F13."
"UX70","Passagem ao atendimento","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Protocolo/histórico e eventos existem; encaminhamento com responsável, SLA e confirmação de recebimento comercial não demonstrados de ponta a ponta (A07).","Solicitação persiste; responsável, fila comercial e acompanhamento real não comprovados. DATA/ACCOUNT/F13."
"UX71","Método principal de acesso","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Login sem obrigatoriedade no primeiro orçamento e opções explícitas de acesso. AUTH."
"UX72","Campos de autenticação","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Exibição/ocultação, validação e mensagens implementadas. AUTH/QA."
"UX73","Recuperação e expiração","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Rotas/clientes de autenticação existem e allowlist foi versionada; configuração remota e ciclo atual de entrega/recuperação/refresh não revalidados. Há evidência histórica de testes reais em 09/09, não prova atual. Entrada direta afetada por A01.","Rotas e estados existem; entrega de e-mail/expiração/reenvio não revalidados ponta a ponta com contas reais. AUTH."
"UX74","Histórico por campanha","I","I","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Lista com busca/filtros/paginação e contexto de pedidos implementada. ACCOUNT/DATA."
"UX75","Timeline acionável","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Protocolo/histórico e eventos existem; encaminhamento com responsável, SLA e confirmação de recebimento comercial não demonstrados de ponta a ponta (A07).","Eventos reais são apresentados; responsabilidade e ação comercial seguinte não estão fechadas. ACCOUNT/F13."
"UX76","Versões de proposta","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Consulta de versões e assinatura privada presentes/testadas; fluxo comercial real publicar→abrir→expirar→ajustar ainda sem comprovação atual (A07).","Metadados/versionamento/download privado presentes; operação de publicação e ciclo de validade precisam comprovação. ACCOUNT/DATA/F13."
"UX77","Pedidos de ajuste","P","P","REAVALIADO_CODIGO_TESTES_OU_ESTADO_REMOTO","Idempotência e bloqueio durante ajuste cobertos no código/testes. Falta browser de resposta perdida após persistência e recebimento pelo responsável comercial.","Persistência existe; retry pode duplicar, mensagem de erro é incorreta e entrega comercial não comprovada. ACCOUNT/F07/F13."
"UX78","Repetir campanha sem perda","P","P","ESCOPO_HERDADO_NAO_RETESTADO_INTEGRALMENTE","Escopo técnico mantido da matriz anterior. Não houve novo teste individual de todos os critérios desta etapa; evidência histórica abaixo não certifica produção atual. A01 afeta acesso direto às rotas que usam loadAppShell; consulte relatório.","Histórico confirma substituição e preserva snapshot; revalidação completa de produtos retirados/regras atuais não demonstrada. ACCOUNT/PROD."
