id,entrega,estado_anterior,estado_revisado,fontes,conclusao_e_aceite_restante,metodo,commit
UX11,Arquitetura da informação,P,P,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts,Destinos por tarefa implementados; testes de localização com compradores ainda ausentes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX12,Nomes das tarefas,P,P,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Nomes principais padronizados; Abrir radar ainda é CTA funcional no orçamento vazio e falta aceite de compreensão.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX13,Guia de voz,P,P,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,Referências visíveis ao atendimento seguem o vocabulário aprovado; guia com exemplos e governança ainda incompleto.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX14,Sistema visual,I,I,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/components/Layout.tsx; src/App.tsx,Tokens e componentes compartilhados presentes; não equivale à certificação manual de acessibilidade.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX15,Cabeçalho por tarefa,I,I,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Cabeçalho oferece catálogo busca seleção e conta; percursos desktop/mobile automatizados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX16,Busca móvel,I,I,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Busca e menu móvel funcionam na cobertura automatizada; dispositivos físicos ficam em UX95.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX17,Painéis e diálogos,P,P,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; src/pages/CustomerAccountPage.tsx; src/pages/CustomerQuotePage.tsx; src/lib/customerAccount.ts; api/customer-proposals.ts; tests/api/customer-proposals.test.ts,Diálogos possuem foco/Escape; confirmação de repetição não bloqueia scroll como compartilhamento e falta revisão assistiva completa.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX18,Orientação e posição,P,P,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,ScrollManager mantém posições por chave; retorno com carregamento assíncrono ainda sem matriz completa.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX19,Erros e vazios,P,I,api/site-page.ts; api/product-page.ts; api/_lib/publicProductPage.ts; api/sitemap.ts; vercel.json; docs/audits/plan-review-20260912/http-production.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Rotas inválidas retornam 404 com shell próprio; estados vazio e recuperação presentes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX20,Testar navegação com tarefas,E,E,docs/PLANO_UX_100_ETAPAS_20260909.md; docs/RELATORIO_EXPERIENCIA_MARKETING_GEN_Z_20260909.md; docs/audits/plan-review-20260912/http-production.json,Não há sessões documentadas com compradores reais; auditoria técnica é evidência distinta.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX21,Ordem da home por intenção,P,P,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts,Home reorganizada; ainda falta demonstrar eficácia da ordem com tarefas do público.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX22,Promessa no primeiro bloco,I,I,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Promessa e ausência de pagamento explícitas; compreensão por público real não certificada.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX23,Produtos que mostrem repertório,P,P,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Produtos reais aparecem; seleção editorial responsável e revisão de diversidade não demonstradas.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX24,Campanhas distintas,P,P,src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,Onboarding não impõe mais kits; diferenciar resultados por intenção e validar pertinência ainda pendente.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX25,Quatro frases da marca,I,I,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Quatro frases exatas presentes no manifesto e verificadas pelos testes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX26,Case comercial real,E,E,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,Modelo completo de case com material autorizado e resultado documentado não localizado.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX27,Como funciona,P,P,src/pages/HomePage.tsx; src/styles.css; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,Processo apresentado; etapas de arte produção e entrega dependem de validação comercial.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX28,Operação e limites,E,E,README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,Fotos próprias autorizadas e capacidades/prazos operacionais precisam confirmação.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX29,Necessidade no contato,I,I,README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Contato inclui mensagem e preferência de canal; persistência não equivale a notificação.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX30,Redes e atendimento oficial,P,P,src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,Quatro redes e links acessíveis presentes; titularidade horários e atendimento real não revalidados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX31,Taxonomia de campanhas,P,P,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Taxonomia implementada; sem avaliação comercial sistemática dos rótulos editoriais.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX32,Sinônimos por intenção,P,P,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Sinônimos e onboarding separados de kit; ausência de conjunto julgado limita aceite de relevância.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX33,Erros de digitação,I,I,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,Correção sugerida de digitação e preservação de códigos cobertas por testes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX34,Amostra de relevância,N,N,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; docs/PLANO_UX_100_ETAPAS_20260909.md; docs/RELATORIO_EXPERIENCIA_MARKETING_GEN_Z_20260909.md; docs/audits/plan-review-20260912/http-production.json,Não há dataset de consultas com julgamentos comerciais e resultados esperados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX35,Ordenação editorial,P,P,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Ordenação por flags existe; ranking por intenção e diversidade não comprovado.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX36,"Novidades, kits, badge único",I,I,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml,Badge único com prioridade novidade-kit-personalização e janela temporal testados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX37,Grupos do superfiltro,I,I,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Grupos filtros por IDs chips e busca interna implementados/testados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX38,Refinamento móvel,I,I,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Painel móvel combina filtros preserva URL e retorna foco.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX39,"Densidade, paginação, retorno",P,P,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/components/Layout.tsx; src/App.tsx; e2e/smoke.spec.ts,Paginação e URL existem; posição exata após navegação/carga e todos os estados não certificadas.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX40,Explicar recomendações e vazios,P,P,src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Filtros e vazios explicáveis; pertinência comercial de recomendações ainda sem aceite.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX41,Qualidade dos dados,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,Amostra pública desta rodada limitada; inconsistência de mínimo nulo no servidor B02 exige correção e amostra estratificada.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX42,Resumo e descrição completa,I,I,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json,Resumo e descrição completa separados na ficha; não implica qualidade factual de todo cadastro.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX43,Especificações e unidades,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json,Ausências e unidades apresentadas; comparabilidade por família exige revisão dos dados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX44,Galeria com ampliação,I,I,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml,Miniaturas zoom Escape e fallback implementados; testes aprovados nos recortes de galeria.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX45,Cores e variantes,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/lib/sharedSelection.ts; src/pages/SharedSelectionPage.tsx; api/shared-selections.ts; tests/api/shared-selections.test.ts; src/lib/sharedSelection.test.ts,Compartilhamento preserva variantes removidas; reconciliação de orçamento ainda aceita variante inexistente B03.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX46,Mínimo e ajuste de quantidade,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts,Digitação com rascunho corrigida nos três pontos; mínimo nulo B02 e instabilidade WebKit B07 permanecem.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX47,Personalização comprovada,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; README.md; api/_lib/siteDatabase.ts; src/pages/AboutPage.tsx; src/pages/ContactPage.tsx; src/pages/PrivacyPage.tsx,FAQ orienta personalização; matriz de técnicas/áreas e exemplos reais por família ausentes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX48,FAQ contextual,I,I,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts,FAQ contextual centralizada no catálogo produto e briefing; cobertura existente aprovada.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX49,Relacionados relevantes,P,P,src/pages/ProductPage.tsx; src/components/ProductCard.tsx; src/lib/productBadges.ts; api/_lib/catalogValidation.ts; docs/audits/plan-review-20260912/simulations.json; src/lib/campaignPresets.ts; src/lib/ideaLandings.ts; src/lib/catalogLibrary.ts; src/components/CampaignFinder.tsx,Relacionados por categoria excluem produto atual; ranking/diversidade por campanha não demonstrados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX50,Comparação decisória,I,I,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/catalog.ts; src/lib/search.ts; src/pages/CatalogPage.tsx; src/components/CatalogFilterPanel.tsx; src/lib/catalog.test.ts; src/lib/search.test.ts,Comparação de até três referências com dimensões material capacidade e ausências implementada.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX51,Feedback ao salvar,I,I,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; e2e/smoke.spec.ts; playwright.config.ts; .github/workflows/quality.yml; docs/audits/plan-review-20260912/simulations.json,Salvar atualizar contador e limite de cinquenta possuem feedback e testes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX52,Remover/limpar com proteção,P,I,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/sharedSelection.ts; src/pages/SharedSelectionPage.tsx; api/shared-selections.ts; tests/api/shared-selections.test.ts; src/lib/sharedSelection.test.ts,Desfazer remoção/limpeza e confirmar substituição estão implementados; antigos gaps de duplicação encerrados.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX53,Seleções por campanha,P,P,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts,Uma seleção pode ser nomeada; não há várias campanhas independentes.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX54,Alternativas de decisão,P,P,src/context/QuoteCartContext.tsx; src/components/QuoteDrawer.tsx; src/lib/quoteItems.ts; src/lib/catalogComparison.ts; src/context/QuoteCartContext.test.ts; src/lib/sharedSelection.ts; src/pages/SharedSelectionPage.tsx; api/shared-selections.ts; tests/api/shared-selections.test.ts; src/lib/sharedSelection.test.ts,Principal/alternativa existe; contrato compartilhado omite grupo decisório e falta teste de compreensão.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX55,Impressão/PDF,P,P,src/pages/QuotePage.tsx; src/lib/quoteDraft.ts; src/lib/quoteBriefing.ts; src/lib/http.ts; api/_lib/contracts.ts; tests/api/lead-requests.test.ts; docs/audits/plan-review-20260912/simulations.json,Impressão disponível; PDF extenso imagens ausentes observações e paginação não retestados nesta rodada.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX56,Modelo de compartilhamento,P,I,src/lib/sharedSelection.ts; src/pages/SharedSelectionPage.tsx; api/shared-selections.ts; tests/api/shared-selections.test.ts; src/lib/sharedSelection.test.ts; site-supabase/supabase/migrations; site-supabase/supabase/tests/database/customer_portal.test.sql; site-supabase/supabase/tests/database/lead_storage.test.sql; docs/audits/plan-review-20260912/database-readonly.json,Modelo opaco revogável com segredo separado e prazo definido implementado; links antigos têm contrato distinto.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX57,Link de leitura,P,P,src/lib/sharedSelection.ts; src/pages/SharedSelectionPage.tsx; api/shared-selections.ts; tests/api/shared-selections.test.ts; src/lib/sharedSelection.test.ts; site-supabase/supabase/migrations; site-supabase/supabase/tests/database/customer_portal.test.sql; site-supabase/supabase/tests/database/lead_storage.test.sql; docs/audits/plan-review-20260912/database-readonly.json,Leitura e revogação implementadas com limite 50 aplicado; falta novo ciclo real criar-abrir-revogar no deployment.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
UX58,Prévia de links por conteúdo,P,P,api/site-page.ts; api/product-page.ts; api/_lib/publicProductPage.ts; api/sitemap.ts; vercel.json; docs/audits/plan-review-20260912/http-production.json,Shell e metadados públicos corrigidos; prévia específica de cada coleção/data por parâmetros ainda incompleta.,Inspeção de fontes e evidências por módulo; não significa teste individual completo do aceite.,b789e45f3171ce56a9e5eff4f8bbb3d6acc145c7
