"id","entrega","status_base_7104660","status_revisao","verificacao_nesta_rodada","observacao_atual","evidencia_historica"
"UX27","Como funciona","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Fluxo explicado; validação formal das etapas de arte/produção e operação comercial ainda necessária. HOME/QUOTE."
"UX28","Operação e limites","E","E","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Depende de fotos reais autorizadas e confirmação de capacidades/prazos; conteúdo genérico não é comprovação. HOME/DOC."
"UX29","Necessidade no contato","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Formulário permite explicar necessidade e indicar contexto; envio automático é outro requisito. QUOTE/NAV."
"UX30","Redes e atendimento oficial","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Ícones/links existem e são testados; titularidade de todos os canais, horários e domínio não confirmada nesta revisão. NAV/QA."
"UX31","Taxonomia de campanhas","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Taxonomia e tradução de filtros existem; adequação semântica dos atalhos ainda limitada. CAT/CUR/F09."
"UX32","Sinônimos por intenção","P","P","REAVALIADO","Sinônimos/finder corrigidos no recorte verificado; catálogo editorial ainda contém perfil=kits para onboarding. Falta dataset comercial de relevância.","Busca textual refinada; outros caminhos ainda restringem onboarding a kits. CAT/CUR/F09."
"UX33","Erros de digitação","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Normalização/sugestões e proteção de códigos cobertas nos testes de busca. CAT."
"UX34","Amostra de relevância","N","N","REAVALIADO","Nenhum dataset julgado de relevância real localizado; testes de normalização não substituem avaliação dos resultados. R09.","Não encontrei dataset real julgado com esperado/obtido por intenção; fixtures não substituem avaliação comercial. CAT/DOC."
"UX35","Ordenação editorial","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Ordenação por flags existe; não há ranking avaliado por intenção/diversidade. CAT/F09."
"UX36","Novidades, kits, badge único","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Precedência único badge e critérios de novidade implementados/testados. PROD."
"UX37","Grupos do superfiltro","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Agrupamentos, busca e chips legíveis implementados. CAT/QA."
"UX38","Refinamento móvel","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Painel móvel, combinação de filtros, URL e retorno de foco cobertos. CAT/QA."
"UX39","Densidade, paginação, retorno","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Paginação e estado de filtro existem; toda a matriz de retorno/posição ainda sem comprovação. CAT/QA."
"UX40","Explicar recomendações e vazios","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Recuperação de vazio existe; justificativa de pertinência depende de melhorar a curadoria. CAT/CUR/F09."
"UX41","Qualidade dos dados","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Normalizadores/contrato público protegem exibição; falta auditoria estratificada recorrente com amostra e responsáveis. PROD/DATA."
"UX42","Resumo e descrição completa","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Separação de leitura implementada no detalhe. PROD."
"UX43","Especificações e unidades","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Campos e ausência tratados; qualidade/unidades de todas as famílias não auditadas em amostra representativa. PROD/DATA."
"UX44","Galeria com ampliação","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Miniaturas, ampliação e fallback presentes; testes de galeria existentes. PROD/QA."
"UX45","Cores e variantes","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Identidade da variante preservada em seleção e contratos; dados publicados governam apresentação. PROD/CART/SHARE."
"UX46","Mínimo e ajuste de quantidade","P","P","REAVALIADO","Mínimos preservados; inputs da ficha e seleção ainda fazem clamp a cada onChange, prejudicando digitação intermediária. R09.","Mínimo validado, mas edição intermediária é normalizada cedo demais. PROD/F10."
"UX47","Personalização comprovada","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Textos cautelosos/FAQ existem; matriz de técnicas e exemplos reais por produto não está completa. PROD/DOC."
"UX48","FAQ contextual","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Perguntas por contexto de catálogo/produto/orçamento implementadas. PROD/QUOTE."
"UX49","Relacionados relevantes","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Relacionados por categoria existem; diversidade/adequação à campanha não demonstradas. PROD/CUR/F09."
"UX50","Comparação decisória","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Até três itens com atributos úteis e ausências tratadas; testes cobrem persistência. PROD/QA."
"UX51","Feedback ao salvar","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Estados de inclusão/atualização, contador e limite presentes. CART/PROD/QA."
"UX52","Remover/limpar com proteção","P","P","REAVALIADO","Limpar/desfazer preserva título no fluxo normal; substituição pede confirmação. Encerramento de todas as proteções depende de corrigir itens obsoletos ao trocar link (R04).","Remoção/limpeza têm recuperação; substituição por compartilhamento escapa da proteção. CART/F02."
"UX53","Seleções por campanha","P","P","REAVALIADO","Uma seleção local com título; não há várias campanhas independentes por conta. Evento storage replica mudanças sem resolução de conflitos.","Nome de uma seleção ativa existe; múltiplas campanhas independentes não. CART/F11."
"UX54","Alternativas de decisão","P","P","REAVALIADO","Grupos principal/alternativa existem no orçamento; formato compartilhado contém apenas id/q/v e não conserva grupo. Decidir representação antes de declarar paridade.","Grupos/prioridades implementados; entendimento pelos compradores e preservação no link não comprovados. CART/QUOTE/F12."
"UX55","Impressão/PDF","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Estilo de impressão existe; paginação longa, imagens, observações e QA do PDF final ainda pendentes. CART/QUOTE/QA."
"UX56","Modelo de compartilhamento","P","P","REAVALIADO","Token opaco/expiração/revogação implementados; listagem de gestão ainda falha com registros expirados ou corrompidos (R03). Retenção remota não confirmada.","Token opaco, validade e segredo separado existem; gerenciamento/limpeza ainda incompletos. SHARE/F03/F06."
"UX57","Link de leitura","P","P","REAVALIADO","Demora inicial e confirmação corrigidas, mas 50→8, payload longo, gestão de links e troca SPA permanecem defeituosos. R01–R04.","API e página existem, mas há falhas de carregamento, duplicação e revogação; limite de oito. SHARE/F01–F03/F12."
"UX58","Prévia de links por conteúdo","P","P","REAVALIADO","HTML inicial de catálogo/biblioteca/datas mantém title/canonical da home. Cabeçalhos privados melhoraram; exato /minha-conta ainda sem noindex em produção. R05.","Produto tem camada própria; catálogos/datas e páginas sensíveis falham no HTML inicial. SEO/F05."
"UX59","Sincronização após login","N","N","REAVALIADO","Não há biblioteca remota de seleções por usuário; histórico de pedidos é outra função. src/context/QuoteCartContext.tsx e migrations.","Não há biblioteca remota de seleções por usuário; histórico de pedidos não é sincronização de rascunhos. CART/ACCOUNT/F11."
"UX60","Conflitos/ciclo de campanhas","N","N","REAVALIADO","Existe sincronização simples por storage entre abas, mas não versionamento de campanhas, confirmação de conflito, arquivamento/restauração ou sincronização remota.","Não há versionamento concorrente, arquivamento e restauração de várias seleções. CART/F11."
"UX61","Resumo editável da campanha","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Contexto e campos de briefing revisáveis no fluxo principal. QUOTE."
"UX62","Verba sem preço fictício","P","I","REAVALIADO","Escopo total/por pessoa exigido para faixa definida, no cliente e servidor, com testes aprovados. src/lib/quoteBriefing.ts; api/_lib/contracts.ts.","Campo existe, mas escopo não é exigido quando há valor/faixa. QUOTE/F08."
"UX63","Evento versus recebimento","P","P","REAVALIADO","Ordem recebimento≤evento validada; normalizador de briefing não compara evento com data atual. Revisar data passada sem prazo e completar cenários.","Campos separados existem; relação entre datas e faixas ainda incompleta. QUOTE/F08."
"UX64","Formulário com menos esforço","P","P","REAVALIADO","Melhorias de verba/datas implementadas; falta regressão browser de envio válido, resposta perdida após persistência e manutenção integral do rascunho.","Labels/validação/rascunho presentes; inconsistências do briefing e falhas de ajuste continuam. QUOTE/F07/F08."
"UX65","Anexos protegidos","N","N","REAVALIADO","Não há upload de logo/referência do cliente. Bucket de proposta comercial não cumpre este requisito.","Não encontrei upload de logo/referência do cliente. PDF comercial privado é outro fluxo. QUOTE/DATA."
"UX66","Envio único do orçamento","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Fluxo principal tem identidade de tentativa/persistência e testes; não estender essa conclusão ao ajuste. QUOTE/DATA/F07."
"UX67","Confirmação e próximo passo","P","P","REAVALIADO","Protocolo após persistência implementado; operação/expectativa de retorno não comprovadas. README e api/_lib/siteDatabase.ts.","Confirma persistência/protocolo; expectativa operacional/SLA e recebimento comercial não demonstrados. QUOTE/F13."
"UX68","Cópia por e-mail","E","E","REAVALIADO","README confirma automações não habilitadas; tabela de auditoria não constitui fila+worker+provedor+entrega. R07.","Provedor/remetente/domínio e cadeia de entrega não ativos/comprovados; implementação operacional também falta. README/F13."
"UX69","WhatsApp opcional automático","E","E","REAVALIADO","Link iniciado pelo visitante não é cópia automática; ativação exige operação/provedor/opt-in específico e implementação. R07.","Links iniciados pelo visitante existem; automação requer opt-in/provedor/template e worker. F13."
"UX70","Passagem ao atendimento","P","P","REAVALIADO","Registro no banco existe; encaminhamento, SLA e recebimento pelo responsável comercial não foram comprovados ponta a ponta. R07.","Solicitação persiste; responsável, fila comercial e acompanhamento real não comprovados. DATA/ACCOUNT/F13."
"UX71","Método principal de acesso","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Login sem obrigatoriedade no primeiro orçamento e opções explícitas de acesso. AUTH."
"UX72","Campos de autenticação","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Exibição/ocultação, validação e mensagens implementadas. AUTH/QA."
"UX73","Recuperação e expiração","P","P","REAVALIADO","Rotas e UI existem; canonical/allowlist alterados só localmente. Configuração remota e entrega/recuperação real não revalidadas. R08.","Rotas e estados existem; entrega de e-mail/expiração/reenvio não revalidados ponta a ponta com contas reais. AUTH."
"UX74","Histórico por campanha","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Lista com busca/filtros/paginação e contexto de pedidos implementada. ACCOUNT/DATA."
"UX75","Timeline acionável","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Eventos reais são apresentados; responsabilidade e ação comercial seguinte não estão fechadas. ACCOUNT/F13."
"UX76","Versões de proposta","P","P","REAVALIADO","Consulta de versões e assinatura privada implementadas/testadas; ciclo operacional publicar→abrir→expirar ainda não comprovado.","Metadados/versionamento/download privado presentes; operação de publicação e ciclo de validade precisam comprovação. ACCOUNT/DATA/F13."
"UX77","Pedidos de ajuste","P","P","REAVALIADO","Identidade de tentativa e bloqueio durante envio corrigidos; faltam cenário browser retry pós-persistência e recebimento comercial do ajuste.","Persistência existe; retry pode duplicar, mensagem de erro é incorreta e entrega comercial não comprovada. ACCOUNT/F07/F13."
"UX78","Repetir campanha sem perda","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Histórico confirma substituição e preserva snapshot; revalidação completa de produtos retirados/regras atuais não demonstrada. ACCOUNT/PROD."
"UX79","Isolamento e compartilhamento","P","P","REAVALIADO","Banco local: 12 tabelas privadas com RLS e sem DML direto anon/authenticated; testes de isolamento passam. Limitações remotas, compartilhamento e continuidade impedem aceite integral.","Isolamento RPC/Storage testado; analytics, revogação e ciclo de rascunho têm lacunas. DATA/F03/F04/F11."
"UX80","Dados e preferências","P","P","REAVALIADO","Retenção ampliada localmente; 14 migrations locais, ledger remoto não verificável no dry-run 403. Direitos/preferências e seleção local ainda precisam fechamento.","Aviso e retenção parcial existem; autosserviço de direitos/preferências e descarte de links não completos. DATA/F06/F11."
"UX81","Online/PDF/revista distintos","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Modelo distingue formatos e entradas atuais são corretamente online; isso não entrega biblioteca PDF. LIB."
"UX82","Capas com produtos reais","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Prévia por consulta pública, carregamento/fallback implementados. LIB."
"UX83","Coleções por campanha","P","P","REAVALIADO","Dez coleções online; recortes e capas com consultas distintas não comprovam curadoria editorial coerente e governada. R09.","Dez coleções editoriais online; resultados ainda genéricos e governança de curadoria incompleta. LIB/CUR/F09."
"UX84","Governar publicações/downloads","N","N","REAVALIADO","Modelo aceita formatos online/pdf/digital; todas as entradas atuais são online. Fluxo governado de PDF/revista não encontrado.","Não há fluxo completo de PDFs/revistas com publicação, edição, revisão e download governado. LIB."
"UX85","Oportunidades futuras","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Agenda calcula datas por ano e privilegia planejamento futuro. DATE."
"UX86","Proximidade e viabilidade","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Janelas de planejamento existem; não equivalem a viabilidade operacional confirmada. DATE/DOC."
"UX87","Agenda móvel","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Modos de consulta/filtros e layout móvel implementados. DATE/QA."
"UX88","Favoritos no planejamento","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Favoritos locais existem; sincronização e validação de recorrência/undo no ciclo anual incompletas. DATE/F11."
"UX89","Exportação de calendário","P","P","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","ICS tem cálculo/escape/UID e testes; importação em calendários reais não comprovada. DATE/QA."
"UX90","Ocasião→coleção→briefing","I","I","BASE_MANTIDA_SEM_RETESTE_INTEGRAL_DO_ACEITE","Classificação herdada da revisão 7104660; suites de módulo reexecutadas quando existentes. Não houve novo ensaio individual de todos os critérios. A evidência histórica não comprova estado remoto atual.","Contexto trafega por URLs/seleção e pode ser revisado. DATE/CUR/QUOTE."
